SB_UID,SB_UID,EXECBLOCKUID,STARTTIME,ENDTIME,QA0STATUS,SE_STATUS,SE_PROJECT_CODE,SE_ARRAYENTRY_ID,FINALCOMMENTID,COMENT,delta
uid://A001/X122/X568,uid://A001/X122/X568,uid://A002/X85b7b2/X935,2014-07-01 09:56:26.257,2014-07-01 11:16:41.909,Pass,SUCCESS,2013.1.00146.S,614574,,,1.33768111111
uid://A001/X13a/X2b,uid://A001/X13a/X2b,uid://A002/X86cc63/Xe69,2014-07-16 05:42:20.041,2014-07-16 07:31:47.739,Pass,SUCCESS,2013.1.00211.S,621591,700.0,,1.82436055556
uid://A001/X121/X4a0,uid://A001/X121/X4a0,uid://A002/X87c075/X3af4,2014-07-27 08:47:56.260,2014-07-27 09:52:03.379,Pass,SUCCESS,2013.1.00534.S,627197,1633.0,"QA0plus status: PASS (PWV ~0.4mm. AmpCal used is J0238+166(Last observed Band7 11Aug14). 33 antennas, refant=DA59. Trec DA55 one negative scan for BB4&BB3/YY. Image final peak flux/rms is 0.64mJy/0.03",1.06864416667
uid://A001/X13f/X8,uid://A001/X13f/X8,uid://A002/X88fa54/X13e8,2014-08-08 09:03:55.552,2014-08-08 09:17:09.548,Fail,FAIL,2013.1.00092.S,633569,1379.0,QA0plus status: FAIL (no science),0.220554444444
uid://A001/X13f/X8,uid://A001/X13f/X8,uid://A002/X88fa54/X144f,2014-08-08 09:23:26.172,2014-08-08 09:28:17.513,Fail,FAIL,2013.1.00092.S,633569,1378.0,QA0plus status:FAIL (no science),0.0809280555556
uid://A001/X122/X346,uid://A001/X122/X346,uid://A002/X83b318/X785,2014-06-09 07:00:16.431,2014-06-09 08:06:46.944,Pass,SUCCESS,2013.1.00162.S,603031,,,1.10847583333
uid://A001/X13a/X2b,uid://A001/X13a/X2b,uid://A002/X86fcfa/X1379,2014-07-18 02:48:27.765,2014-07-18 04:37:09.844,Pass,SUCCESS,2013.1.00211.S,622522,763.0,,1.81168861111
uid://A001/X121/X37a,uid://A001/X121/X37a,uid://A002/X85b7b2/Xef9,2014-07-01 12:12:16.008,2014-07-01 12:48:03.524,SemiPass,FAIL,2013.1.00221.S,614574,1425.0,,0.596532222222
uid://A001/X12b/Xc,uid://A001/X12b/Xc,uid://A002/X836a4d/X8a4,2014-06-06 05:45:01.222,2014-06-06 07:01:17.176,Pass,FAIL,2013.1.00332.S,601279,,,1.27109833333
uid://A001/X121/X156,uid://A001/X121/X156,uid://A002/X8358e4/X368,2014-06-04 23:41:54.671,2014-06-05 00:00:51.342,Fail,FAIL,2013.1.00803.S,600562,,,0.315741944444
uid://A001/X122/X500,uid://A001/X122/X500,uid://A002/X83b318/X103b,2014-06-09 12:10:20.197,2014-06-09 13:20:08.219,Pass,SUCCESS,2013.1.00351.S,603172,,,1.16333944444
uid://A001/X122/X582,uid://A001/X122/X582,uid://A002/X87c075/X41b6,2014-07-27 11:51:12.713,2014-07-27 11:57:28.620,Fail,FAIL,2013.1.01195.S,627025,1007.0,QA0plus status: FAIL (no science),0.104418611111
uid://A001/X11f/X81,uid://A001/X11f/X81,uid://A002/X821133/X836,2014-05-18 05:49:25.084,2014-05-18 07:20:28.212,SemiPass,SUCCESS,2013.1.00293.S,592066,,,1.51753555556
uid://A001/X122/X4c0,uid://A001/X122/X4c0,uid://A002/X892c75/Xc11,2014-08-14 07:57:00.554,2014-08-14 08:55:45.289,Pass,SUCCESS,2013.1.00218.S,636605,1735.0,"QA0plus status: PASS (PWV ~2.0m variable. AmpCal used is J2232+117(Last observed Band3 06Aug14), 31 antennas, refant=DA63. Image final peak flux/rms is 3.3mJy/0.39mJy=8.5 ~34min per source. Resolution",0.979093055556
uid://A001/X11d/X11,uid://A001/X11d/X11,uid://A002/X807059/X213,2014-05-02 23:50:25.472,2014-05-03 00:37:04.839,Pass,SUCCESS,2013.1.00437.S,582803,6794.0,QA0Plus status: PASS ,0.777601944444
uid://A001/X121/X158,uid://A001/X121/X158,uid://A002/X804fed/X725,2014-05-02 03:39:13.001,2014-05-02 04:41:32.470,Pass,SUCCESS,2013.1.00803.S,582105,2343.0,"QA0plus status: PASS (ICT-2911: Incorrect value of StateID field, TelCal runs offline to fix the data and propmtly available in the archive SCOPS-679. Then PASS)",1.03874138889
uid://A001/X120/X70,uid://A001/X120/X70,uid://A002/X80325b/X14a3,2014-05-01 04:35:02.272,2014-05-01 05:53:27.318,SemiPass,SUCCESS,2013.1.01366.T,581509,6734.0,"QA0plus status: PASS ( tsys table regenerated offline, target = 3 
resolution = 0.61 x 0.37 in pa -69.1 
time on target = 45.19 (min) 
peak on image = 439.22 (mJy) 
rms on image = 203.06 (mJy) 
expect",1.30695722222
uid://A001/X11d/X3,uid://A001/X11d/X3,uid://A002/X8022df/X170,2014-04-30 00:41:09.053,2014-04-30 01:12:04.785,SemiPass,FAIL,2013.1.00034.S,580906,,,0.515481111111
uid://A001/X11d/X3,uid://A001/X11d/X3,uid://A002/X8022df/X270,2014-04-30 01:21:31.454,2014-04-30 02:39:04.333,Pass,SUCCESS,2013.1.00034.S,580945,2332.0,"QA0plus status: PASS ( Tsys table regenerated offilne , target = 3 
resolution = 0.75 x 0.58 in pa -81.8 
time on target = 2.32 (min) 
peak on image = 0.54 (mJy) 
rms on image = 0.11 (mJy) 
expected s",1.29246638889
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X804fed/X210,2014-05-02 01:32:03.806,2014-05-02 02:52:45.168,SemiPass,SUCCESS,2013.1.00976.S,582105,,,1.34482277778
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X804fed/X55d,2014-05-02 02:53:07.732,2014-05-02 03:11:56.344,SemiPass,FAIL,2013.1.00976.S,582105,,,0.313503333333
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X804fed/X50e,2014-05-02 02:40:42.367,2014-05-02 04:00:46.196,Pass,SUCCESS,2013.1.01312.S,582102,2342.0,"QA0plus status: PASS (AmplCal used is Mars, 11 antennas, CM07 one scan higher all BBs/YY. Image final peak flux/rms is 13.65mJy/0.45mJy=30.3 ~36min on source)",1.33439694444
uid://A001/X11d/X11,uid://A001/X11d/X11,uid://A002/X80325b/X57b,2014-05-01 00:07:47.529,2014-05-01 00:52:02.035,Pass,SUCCESS,2013.1.00437.S,581423,2337.0,"QA0plus status: PASS (tsys table regenerated offline, bandpass looks ok, flux cal ok, QA2report did not finish )",0.737362777778
uid://A001/X11e/X1,uid://A001/X11e/X1,uid://A002/X8045ee/X88,2014-05-01 10:16:17.975,2014-05-01 11:06:55.037,Pass,SUCCESS,2013.1.00088.S,581700,2340.0,"QA0plus status: PASS ( DV05&DV08 needs to be flagged, target = 2 
resolution = 1.48 x 0.62 in pa -173.6 
time on target = 25.71 (min) 
peak on image = 9.54 (mJy) 
rms on image = 1.37 (mJy) 
expected s",0.843628333333
uid://A001/X11f/X26,uid://A001/X11f/X26,uid://A002/X8022df/X514,2014-04-30 02:42:57.254,2014-04-30 03:38:55.910,Pass,SUCCESS,2013.1.00468.S,580945,2333.0,"QA0plus status: PASS ( target = 3 
resolution = 1.11 x 0.55 in pa 51.9 
time on target = 34.13 (min) 
peak on image = 0.42 (mJy) 
rms on image = 0.05 (mJy) 
expected sensitivity = 0.03 (mJy) 
spw mean",0.93296
uid://A001/X11f/Xf,uid://A001/X11f/Xf,uid://A002/X8045ee/X4d3,2014-05-01 12:12:07.977,2014-05-01 13:13:11.338,SemiPass,SUCCESS,2013.1.00033.S,581730,,,1.01760027778
uid://A001/X121/X2a8,uid://A001/X121/X2a8,uid://A002/X847097/X125c,2014-06-17 07:19:35.071,2014-06-17 08:38:32.754,Pass,SUCCESS,2013.1.00366.S,607650,,,1.31602305556
uid://A001/X121/X157,uid://A001/X121/X157,uid://A002/X80325b/Xd26,2014-05-01 02:18:34.791,2014-05-01 02:19:31.528,Fail,FAIL,2013.1.00803.S,581502,,,0.0157602777778
uid://A001/X122/X502,uid://A001/X122/X502,uid://A002/X847097/X142b,2014-06-17 08:10:09.516,2014-06-17 08:13:13.740,Fail,FAIL,2013.1.00351.S,607741,,,0.0511733333333
uid://A001/X11d/X1c,uid://A001/X11d/X1c,uid://A002/X80325b/X307,2014-04-30 22:56:07.210,2014-04-30 23:01:10.495,Fail,FAIL,2013.1.00952.S,581348,,,0.0842458333333
uid://A001/X11f/X71,uid://A001/X11f/X71,uid://A002/X8022df/X781,2014-04-30 03:40:28.640,2014-04-30 03:44:12.183,Fail,FAIL,2013.1.00879.S,580945,,,0.0620952777778
uid://A001/X11f/Xe,uid://A001/X11f/Xe,uid://A002/X8045ee/X2ca,2014-05-01 11:12:53.520,2014-05-01 11:58:53.498,SemiPass,SUCCESS,2013.1.00033.S,581700,,,0.766660555556
uid://A001/X122/Xef,uid://A001/X122/Xef,uid://A002/X80325b/Xca2,2014-05-01 02:11:09.142,2014-05-01 02:12:14.051,Fail,FAIL,2013.1.01312.S,581502,,,0.0180302777778
uid://A001/X12f/X2,uid://A001/X12f/X2,uid://A002/X847097/X3c6,2014-06-17 00:38:22.020,2014-06-17 00:43:01.664,Fail,SUCCESS,2013.1.00870.S,607498,,,0.0776788888889
uid://A001/X120/Xdc,uid://A001/X120/Xdc,uid://A002/X847097/X7d8,2014-06-17 03:17:34.805,2014-06-17 04:31:23.665,Pass,SUCCESS,2013.1.00278.S,607604,,,1.23023888889
uid://A001/X122/X582,uid://A001/X122/X582,uid://A002/X8440e0/X1a6b,2014-06-15 15:42:17.806,2014-06-15 16:56:53.470,Pass,SUCCESS,2013.1.01195.S,606700,,,1.24324
uid://A001/X122/X309,uid://A001/X122/X309,uid://A002/X835491/X516,2014-06-04 07:18:34.074,2014-06-04 08:49:07.720,Pass,SUCCESS,2013.1.01035.S,600178,,,1.50934611111
uid://A001/X122/X36a,uid://A001/X122/X36a,uid://A002/X83dbe6/X1842,2014-06-11 09:46:29.438,2014-06-11 10:51:58.783,Pass,SUCCESS,2013.1.00212.S,604363,,,1.09148472222
uid://A001/X122/X346,uid://A001/X122/X346,uid://A002/X839000/X261f,2014-06-08 09:21:13.740,2014-06-08 10:07:52.092,Fail,FAIL,2013.1.00162.S,602375,,,0.77732
uid://A001/X12f/X2,uid://A001/X12f/X2,uid://A002/X847097/X5c7,2014-06-17 01:34:50.836,2014-06-17 01:53:59.180,Fail,FAIL,2013.1.00870.S,607516,,,0.318984444444
uid://A001/X120/Xdc,uid://A001/X120/Xdc,uid://A002/X847097/X6ed,2014-06-17 02:00:39.225,2014-06-17 02:03:00.605,Fail,FAIL,2013.1.00278.S,607516,,,0.0392722222222
uid://A001/X12f/X99,uid://A001/X12f/X99,uid://A002/X84187d/X15f1,2014-06-14 05:21:07.306,2014-06-14 05:32:28.117,Fail,FAIL,2013.1.01365.S,605795,,,0.189114166667
uid://A001/X120/Xd9,uid://A001/X120/Xd9,uid://A002/X847097/Xef9,2014-06-17 05:59:35.989,2014-06-17 07:15:33.951,Pass,SUCCESS,2013.1.00278.S,607604,,,1.26610055556
uid://A001/X122/X36d,uid://A001/X122/X36d,uid://A002/X83f101/X19c7,2014-06-12 09:51:22.748,2014-06-12 11:22:08.022,Pass,SUCCESS,2013.1.00212.S,604840,,,1.51257611111
uid://A001/X122/X502,uid://A001/X122/X502,uid://A002/X841035/X145,2014-06-13 07:54:38.670,2014-06-13 09:05:02.145,Pass,SUCCESS,2013.1.00351.S,605425,,,1.1731875
uid://A001/X11f/X93,uid://A001/X11f/X93,uid://A002/X84187d/X373d,2014-06-14 19:16:20.283,2014-06-14 20:17:42.828,Pass,FAIL,2013.1.00041.S,606277,,,1.02292916667
uid://A001/X122/X548,uid://A001/X122/X548,uid://A002/X8440e0/X382e,2014-06-16 04:09:05.747,2014-06-16 05:13:21.432,Pass,SUCCESS,2013.1.00395.S,606984,,,1.07102361111
uid://A001/X122/X502,uid://A001/X122/X502,uid://A002/X847097/X18ea,2014-06-17 10:52:21.079,2014-06-17 12:02:43.726,Pass,SUCCESS,2013.1.00351.S,607785,,,1.1729575
